date,new_cases,new_deaths,new_tests,location,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,cases_per_million,deaths_per_million,tests_per_million
2020-05-17,875.0,153.0,33505.0,Italy,60461828.0,83.51,3.18,35220.084,14.471940874827668,3.0,554.1512902984011
2020-05-18,675.0,145.0,26101.0,Italy,60461828.0,83.51,3.18,35220.084,11.164068674867059,2.0,431.6938614558594
2020-05-19,451.0,99.0,40226.0,Italy,60461828.0,83.51,3.18,35220.084,7.459251810911176,2.0,665.3123355780774
2020-05-20,813.0,162.0,38617.0,Italy,60461828.0,83.51,3.18,35220.084,13.44650049283988,3.0,638.7005037293943
2020-05-21,665.0,161.0,40644.0,Italy,60461828.0,83.51,3.18,35220.084,10.998675064869028,3.0,672.2257884759952
2020-05-22,642.0,156.0,42987.0,Italy,60461828.0,83.51,3.18,35220.084,10.618269761873558,3.0,710.9775112985337
2020-05-23,652.0,130.0,42579.0,Italy,60461828.0,83.51,3.18,35220.084,10.783663371871588,2.0,704.2294520106141
2020-05-24,669.0,119.0,34206.0,Italy,60461828.0,83.51,3.18,35220.084,11.064832508868239,2.0,565.7453823592631
2020-05-25,531.0,50.0,20676.0,Italy,60461828.0,83.51,3.18,35220.084,8.78240069089542,1.0,341.96782803192787
2020-05-26,300.0,92.0,33944.0,Italy,60461828.0,83.51,3.18,35220.084,4.961808299940915,2.0,561.4120697773147
2020-05-27,397.0,78.0,37299.0,Italy,60461828.0,83.51,3.18,35220.084,6.56612631692181,1.0,616.9016259316539
2020-05-28,584.0,117.0,39838.0,Italy,60461828.0,83.51,3.18,35220.084,9.65898682388498,2.0,658.8950635101539
2020-05-29,593.0,70.0,38233.0,Italy,60461828.0,83.51,3.18,35220.084,9.807841072883209,1.0,632.34938910547
2020-05-30,516.0,87.0,36051.0,Italy,60461828.0,83.51,3.18,35220.084,8.534310275898374,1.0,596.2605034038997
2020-05-31,416.0,111.0,28948.0,Italy,60461828.0,83.51,3.18,35220.084,6.880374175918068,2.0,478.78142222229866
2020-06-01,355.0,75.0,18053.0,Italy,60461828.0,83.51,3.18,35220.084,5.871473154930083,1.0,298.58508412944445
2020-06-02,178.0,60.0,25628.0,Italy,60461828.0,83.51,3.18,35220.084,2.9440062579649426,1.0,423.87074370295255
2020-06-03,318.0,55.0,20035.0,Italy,60461828.0,83.51,3.18,35220.084,5.25951679793737,1.0,331.3660976310541
2020-06-04,321.0,71.0,27451.0,Italy,60461828.0,83.51,3.18,35220.084,5.309134880936779,1.0,454.0219988055935
2020-06-05,177.0,88.0,40470.0,Italy,60461828.0,83.51,3.18,35220.084,2.92746689696514,1.0,669.3479396620294
2020-06-06,518.0,85.0,34036.0,Italy,60461828.0,83.51,3.18,35220.084,8.567388997897979,1.0,562.9336909892966
2020-06-07,270.0,72.0,27894.0,Italy,60461828.0,83.51,3.18,35220.084,4.465627469946823,1.0,461.34893572850626
2020-06-08,197.0,53.0,16301.0,Italy,60461828.0,83.51,3.18,35220.084,3.2582541169612007,1.0,269.6081236577895
2020-06-09,280.0,65.0,32200.0,Italy,60461828.0,83.51,3.18,35220.084,4.631021079944854,1.0,532.5674241936582
2020-06-10,283.0,79.0,37865.0,Italy,60461828.0,83.51,3.18,35220.084,4.680639162944263,1.0,626.2629042575425
2020-06-11,202.0,71.0,32991.0,Italy,60461828.0,83.51,3.18,35220.084,3.340950921960216,1.0,545.6500587445024
2020-06-12,379.0,53.0,37651.0,Italy,60461828.0,83.51,3.18,35220.084,6.268417818925355,1.0,622.7234810035847
2020-06-13,163.0,56.0,32880.0,Italy,60461828.0,83.51,3.18,35220.084,2.695915842967897,1.0,543.8141896735243
2020-06-14,346.0,78.0,29545.0,Italy,60461828.0,83.51,3.18,35220.084,5.722618905931855,1.0,488.65542073918107
2020-06-15,338.0,44.0,17463.0,Italy,60461828.0,83.51,3.18,35220.084,5.5903040179334305,1.0,288.82686113956066
2020-06-16,301.0,26.0,27762.0,Italy,60461828.0,83.51,3.18,35220.084,4.978347660940718,0.0,459.16574007653224
2020-06-17,210.0,34.0,33957.0,Italy,60461828.0,83.51,3.18,35220.084,3.47326580995864,1.0,561.6270814703122
2020-06-18,328.0,43.0,32921.0,Italy,60461828.0,83.51,3.18,35220.084,5.4249104079354,1.0,544.4923034745162
2020-06-19,331.0,66.0,28570.0,Italy,60461828.0,83.51,3.18,35220.084,5.4745284909348095,1.0,472.5295437643731
2020-06-20,297.5,47.0,29875.0,Italy,60461828.0,83.51,3.18,35220.084,4.9204598974414075,1.0,494.1134098691161
2020-06-21,264.0,49.0,24581.0,Italy,60461828.0,83.51,3.18,35220.084,4.366391303948005,1.0,406.5540327361588
2020-06-22,224.0,24.0,16152.0,Italy,60461828.0,83.51,3.18,35220.084,3.704816863955883,0.0,267.14375886881885
2020-06-23,221.0,23.0,23225.0,Italy,60461828.0,83.51,3.18,35220.084,3.655198780956474,0.0,384.12665922042584
2020-06-24,113.0,18.0,30237.0,Italy,60461828.0,83.51,3.18,35220.084,1.8689477929777445,0.0,500.1006585510448
2020-06-25,577.0,-31.0,29421.0,Italy,60461828.0,83.51,3.18,35220.084,9.54321129688636,-1.0,486.6045399752055
2020-06-26,296.0,34.0,28331.0,Italy,60461828.0,83.51,3.18,35220.084,4.895650855941702,1.0,468.5766364854202
2020-06-27,255.0,30.0,29721.0,Italy,60461828.0,83.51,3.18,35220.084,4.217537054949777,0.0,491.5663482751464
2020-06-28,175.0,8.0,21183.0,Italy,60461828.0,83.51,3.18,35220.084,2.894388174965534,0.0,350.35328405882797
2020-06-29,174.0,22.0,15484.0,Italy,60461828.0,83.51,3.18,35220.084,2.8778488139657306,0.0,256.0954657209504
2020-06-30,126.0,6.0,28471.0,Italy,60461828.0,83.51,3.18,35220.084,2.083959485975184,0.0,470.8921470253926
2020-07-01,142.0,23.0,29325.0,Italy,60461828.0,83.51,3.18,35220.084,2.348589261972033,0.0,485.01676131922443
2020-07-02,182.0,21.0,29147.0,Italy,60461828.0,83.51,3.18,35220.084,3.010163701964155,0.0,482.0727550612595
2020-07-03,201.0,30.0,25680.0,Italy,60461828.0,83.51,3.18,35220.084,3.324411560960413,0.0,424.7307904749423
2020-07-04,223.0,15.0,28946.0,Italy,60461828.0,83.51,3.18,35220.084,3.68827750295608,0.0,478.7483435002991
2020-07-05,235.0,21.0,21166.0,Italy,60461828.0,83.51,3.18,35220.084,3.8867498349537164,0.0,350.0721149218313
2020-07-06,192.0,7.0,13771.0,Italy,60461828.0,83.51,3.18,35220.084,3.1755573119621854,0.0,227.7635403282878
2020-07-07,208.0,8.0,22490.0,Italy,60461828.0,83.51,3.18,35220.084,3.440187087959034,0.0,371.9702288855706
2020-07-08,137.0,30.0,28679.0,Italy,60461828.0,83.51,3.18,35220.084,2.2658924569730177,0.0,474.33233411335164
2020-07-09,193.0,15.0,29947.0,Italy,60461828.0,83.51,3.18,35220.084,3.1920966729619886,0.0,495.3042438611019
2020-07-10,214.0,12.0,27251.0,Italy,60461828.0,83.51,3.18,35220.084,3.5394232539578527,0.0,450.7141266056329
2020-07-11,276.0,12.0,25449.0,Italy,60461828.0,83.51,3.18,35220.084,4.564863635945642,0.0,420.9101980839878
2020-07-12,188.0,7.0,23061.0,Italy,60461828.0,83.51,3.18,35220.084,3.1093998679629733,0.0,381.41420401645814
2020-07-13,234.0,9.0,14006.0,Italy,60461828.0,83.51,3.18,35220.084,3.8702104739539136,0.0,231.65029016324152
2020-07-14,169.0,13.0,24222.0,Italy,60461828.0,83.51,3.18,35220.084,2.7951520089667152,0.0,400.61640213722944
2020-07-15,114.0,17.0,28392.0,Italy,60461828.0,83.51,3.18,35220.084,1.8854871539775475,0.0,469.5855375064082
2020-07-16,162.0,13.0,28089.0,Italy,60461828.0,83.51,3.18,35220.084,2.679376481968094,0.0,464.57411112346784
2020-07-17,230.0,20.0,28661.0,Italy,60461828.0,83.51,3.18,35220.084,3.8040530299547015,0.0,474.0346256153552
2020-07-18,231.0,11.0,27569.0,Italy,60461828.0,83.51,3.18,35220.084,3.8205923909545043,0.0,455.9736434035703
2020-07-19,249.0,14.0,20621.0,Italy,60461828.0,83.51,3.18,35220.084,4.11830088895096,0.0,341.0581631769387
2020-07-20,218.0,3.0,14121.0,Italy,60461828.0,83.51,3.18,35220.084,3.605580697957065,0.0,233.55231667821886
2020-07-21,190.0,13.0,23915.0,Italy,60461828.0,83.51,3.18,35220.084,3.1424785899625793,0.0,395.5388183102899
2020-07-22,128.0,15.0,29288.0,Italy,60461828.0,83.51,3.18,35220.084,2.1170382079747903,0.0,484.4048049622317
2020-07-23,280.0,9.0,33018.0,Italy,60461828.0,83.51,3.18,35220.084,4.631021079944854,0.0,546.0966214914971
2020-07-24,306.0,10.0,28970.0,Italy,60461828.0,83.51,3.18,35220.084,5.061044465939733,0.0,479.14528816429436
2020-07-25,252.0,5.0,28059.0,Italy,60461828.0,83.51,3.18,35220.084,4.167918971950368,0.0,464.07793029347374
2020-07-26,274.0,5.0,25177.0,Italy,60461828.0,83.51,3.18,35220.084,4.531784913946035,0.0,416.4114918920414
2020-07-27,254.0,5.0,19374.0,Italy,60461828.0,83.51,3.18,35220.084,4.200997693949975,0.0,320.4335800101843
2020-07-28,168.0,5.0,25341.0,Italy,60461828.0,83.51,3.18,35220.084,2.7786126479669124,0.0,419.1239470960091
2020-07-29,202.0,11.0,30875.0,Italy,60461828.0,83.51,3.18,35220.084,3.340950921960216,0.0,510.65277086891916
2020-07-30,288.0,6.0,33396.0,Italy,60461828.0,83.51,3.18,35220.084,4.763335967943278,0.0,552.3484999494226
2020-07-31,382.0,3.0,29686.0,Italy,60461828.0,83.51,3.18,35220.084,6.318035901924765,0.0,490.98747064015333
2020-08-01,379.0,9.0,31905.0,Italy,60461828.0,83.51,3.18,35220.084,6.268417818925355,0.0,527.6883126987162
2020-08-02,295.0,5.0,24496.0,Italy,60461828.0,83.51,3.18,35220.084,4.8791114949419,0.0,405.1481870511755
2020-08-03,238.0,8.0,13467.0,Italy,60461828.0,83.51,3.18,35220.084,3.9363679179531257,0.0,222.73557458434766
2020-08-04,159.0,12.0,23491.0,Italy,60461828.0,83.51,3.18,35220.084,2.629758398968685,0.0,388.52612924637344
2020-08-05,190.0,5.0,29739.0,Italy,60461828.0,83.51,3.18,35220.084,3.1424785899625793,0.0,491.86405677314286
2020-08-06,384.0,10.0,32169.0,Italy,60461828.0,83.51,3.18,35220.084,6.351114623924371,0.0,532.0547040026643
2020-08-07,401.0,6.0,30392.0,Italy,60461828.0,83.51,3.18,35220.084,6.632283760921022,0.0,502.6642595060143
2020-08-08,552.0,3.0,26631.0,Italy,60461828.0,83.51,3.18,35220.084,9.129727271891284,0.0,440.459722785755
2020-08-09,347.0,13.0,22773.0,Italy,60461828.0,83.51,3.18,35220.084,5.739158266931658,0.0,376.65086804851484
2020-08-10,463.0,2.0,10904.0,Italy,60461828.0,83.51,3.18,35220.084,7.657724142908812,0.0,180.34519234185245
2020-08-11,259.0,4.0,22063.0,Italy,60461828.0,83.51,3.18,35220.084,4.283694498948989,0.0,364.9079217386547
2020-08-12,412.0,6.0,27330.0,Italy,60461828.0,83.51,3.18,35220.084,6.814216731918856,0.0,452.0207361246173
2020-08-13,476.0,10.0,25629.0,Italy,60461828.0,83.51,3.18,35220.084,7.872735835906251,0.0,423.88728306395234
2020-08-14,522.0,6.0,24868.0,Italy,60461828.0,83.51,3.18,35220.084,8.633546441897192,0.0,411.30082934310224
2020-08-15,574.0,3.0,25937.0,Italy,60461828.0,83.51,3.18,35220.084,9.49359321388695,0.0,428.9814062518917
2020-08-16,629.0,158.0,22470.0,Italy,60461828.0,83.51,3.18,35220.084,10.403258068876118,3.0,371.6394416655745
2020-08-17,477.0,4.0,21379.0,Italy,60461828.0,83.51,3.18,35220.084,7.889275196906055,0.0,353.5949988147894
2020-08-18,320.0,4.0,32687.0,Italy,60461828.0,83.51,3.18,35220.084,5.292595519936976,0.0,540.6220930005622
2020-08-19,401.0,5.0,41290.0,Italy,60461828.0,83.51,3.18,35220.084,6.632283760921022,0.0,682.910215681868
2020-08-20,642.0,7.0,49662.0,Italy,60461828.0,83.51,3.18,35220.084,10.618269761873558,0.0,821.377745972219
2020-08-21,840.0,6.0,44943.0,Italy,60461828.0,83.51,3.18,35220.084,13.89306323983456,0.0,743.3285014141485
2020-08-22,947.0,9.0,46613.0,Italy,60461828.0,83.51,3.18,35220.084,15.662774866813487,0.0,770.9492342838196
2020-08-23,1071.0,3.0,47463.0,Italy,60461828.0,83.51,3.18,35220.084,17.713655630789066,0.0,785.0076911336521
2020-08-24,1209.0,7.0,33358.0,Italy,60461828.0,83.51,3.18,35220.084,19.996087448761887,0.0,551.7200042314302
2020-08-25,953.0,4.0,45798.0,Italy,60461828.0,83.51,3.18,35220.084,15.762011032812305,0.0,757.46965506898
2020-08-26,876.0,4.0,58054.0,Italy,60461828.0,83.51,3.18,35220.084,14.48848023582747,0.0,960.1760634825662
2020-08-27,1366.0,13.0,57640.0,Italy,60461828.0,83.51,3.18,35220.084,22.592767125730965,0.0,953.3287680286478
2020-08-28,1409.0,5.0,65135.0,Italy,60461828.0,83.51,3.18,35220.084,23.303959648722497,0.0,1077.2912787221717
2020-08-29,1460.0,9.0,64294.0,Italy,60461828.0,83.51,3.18,35220.084,24.14746705971245,0.0,1063.3816761213373
2020-08-30,1444.0,1.0,53541.0,Italy,60461828.0,83.51,3.18,35220.084,23.882837283715602,0.0,885.533927290455
2020-08-31,1365.0,4.0,42583.0,Italy,60461828.0,83.51,3.18,35220.084,22.57622776473116,0.0,704.2956094546132
2020-09-01,996.0,6.0,54395.0,Italy,60461828.0,83.51,3.18,35220.084,16.47320355580384,0.0,899.6585415842869
2020-09-02,975.0,8.0,,Italy,60461828.0,83.51,3.18,35220.084,16.125876974807973,0.0,
2020-09-03,1326.0,6.0,,Italy,60461828.0,83.51,3.18,35220.084,21.931192685738843,0.0,
